,Total_Experience,Relevant_experience,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,PG_Specialization,PHD_Specialization,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Certifications,International_degree_any,Expected_CTC
218,10,3,Education,Financial Analyst,Retail,M,Research Analyst,Doctorate,Engineering,Engineering,Engineering,2112058,1,A,5,0,0,2956881
219,7,1,Analytics/BI,Sales Execituve,FMCG,D,Product Manager,Grad,Arts,Others,Did not do PHD,1292113,0,B,1,0,0,1615141
221,9,2,Engineering,Analyst,Training,E,HR,PG,Psychology,Psychology,Did not do PHD,1236018,0,C,3,1,0,1478277
222,18,0,Top Management,Head,Analytics,C,Research Scientist,PG,Botony,Botony,Did not do PHD,2903840,0,C,2,1,1,3472992
223,14,9,Engineering,Head,BFSI,L,Data Analyst,PG,Economics,Economics,Did not do PHD,1412585,1,C,6,1,1,1715443
224,5,3,Education,Business Analyst,Telecom,H,HR,PG,Arts,Others,Did not do PHD,665532,0,D,2,1,0,795976
225,16,8,Banking,Sales Manager,IT,H,Sr.Manager,Grad,Botony,Did not do PG,Did not do PHD,2512082,0,D,6,0,0,2888894
226,10,7,Analytics/BI,Analyst,Training,G,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1421410,0,A,3,4,0,1776762
228,4,0,Sales,Business Analyst,Automobile,P,Product Manager,Grad,Statistics,Statistics,Did not do PHD,502160,0,D,2,0,0,577484
229,22,18,Marketing,Senior Researcher,Retail,L,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1926222,0,B,4,2,0,2407777
230,13,3,Others,Senior Researcher,IT,M,Others,PG,Arts,Arts,Did not do PHD,1778254,1,Key_Performer,2,2,0,2347295
231,20,12,Others,Sales Execituve,Training,M,Product Manager,Grad,Sociology,Did not do PG,Did not do PHD,2764665,0,D,4,0,0,3179364
232,21,9,Sales,Business Analyst,BFSI,B,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2580768,0,D,6,1,0,2967883
233,25,3,Sales,Sales Manager,BFSI,D,Others,PG,Arts,Arts,Did not do PHD,3072774,0,A,3,0,0,3994606
234,22,10,IT-Software,Scientist,Analytics,O,Software Developer,Doctorate,Chemistry,Chemistry,Chemistry,2486835,1,A,4,0,0,3481569
235,18,8,Healthcare,Others,BFSI,L,Assistant Manager,Doctorate,Zoology,Others,Arts,3987718,0,C,2,0,0,4952745
237,8,2,Sales,Principal Analyst,IT,F,Consultant,Doctorate,Others,Engineering,Economics,2100119,1,D,5,0,1,2704953
238,19,17,HR,Business Analyst,Others,A,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1527341,0,D,3,1,0,1756442
239,5,3,Education,Financial Analyst,Others,I,HR,Grad,Economics,Economics,Did not do PHD,581522,1,Key_Performer,2,0,0,774122
240,13,7,HR,Project Manager,IT,D,Data Analyst,Doctorate,Botony,Others,Others,2306029,0,B,5,0,0,3113139
241,15,1,Engineering,Others,Training,E,Assistant Manager,Doctorate,Arts,Arts,Arts,1809602,0,D,5,0,0,2247525
242,21,2,IT-Software,Head,Aviation,G,Sr.Manager,Doctorate,Economics,Economics,Others,3629512,0,B,6,0,1,4899841
243,2,1,Sales,Bio statistician,Insurance,J,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,494621,0,A,2,3,0,618276
245,1,1,Analytics/BI,Data scientist,Aviation,G,Product Manager,PG,Botony,Botony,Did not do PHD,550916,0,D,1,0,1,658895
246,10,5,HR,Senior Researcher,Aviation,A,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1329683,0,B,4,2,0,1662103
247,13,6,Top Management,Area Sales Manager,Aviation,L,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1390434,0,B,2,2,0,1738042
248,11,0,Marketing,Senior Researcher,Others,F,Marketing Manager,PG,Zoology,Zoology,Did not do PHD,2229210,1,Key_Performer,2,1,0,2942557
249,11,10,Accounts,Bio statistician,Insurance,E,Product Manager,PG,Chemistry,Chemistry,Did not do PHD,1565737,0,B,6,1,0,2035458
250,13,9,IT-Software,Scientist,Telecom,H,CA,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1576491,1,B,3,2,0,2049438
251,23,11,Healthcare,Project Manager,Aviation,K,Sr.Manager,PG,Chemistry,Chemistry,Did not do PHD,3699539,1,Key_Performer,2,1,0,4883391
252,8,3,Accounts,Bio statistician,Retail,P,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1034915,0,D,6,3,0,1190152
253,19,14,Others,Team Lead,Retail,C,Data Analyst,PG,Botony,Botony,Did not do PHD,3578545,1,Key_Performer,2,0,0,4723679
254,13,10,Engineering,Team Lead,Others,B,Web Designer,Doctorate,Others,Statistics,Economics,2268680,0,D,3,0,0,2817700
256,23,9,Sales,Others,FMCG,K,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2277415,0,A,6,0,0,2846768
257,15,0,Analytics/BI,Consultant,FMCG,G,Research Analyst,PG,Psychology,Psychology,Did not do PHD,2521646,0,Key_Performer,3,0,0,3278139
258,25,16,Engineering,Analyst,IT,A,Consultant,Doctorate,Botony,Botony,Others,3359392,0,D,5,0,0,4172364
259,19,16,Analytics/BI,Bio statistician,BFSI,I,Sr.Manager,Doctorate,Engineering,Engineering,Engineering,3984282,1,D,4,0,0,5131755
260,1,0,Marketing,Others,Insurance,I,Sr.Manager,Grad,Botony,Did not do PG,Did not do PHD,515922,0,B,2,0,0,644902
261,24,10,Healthcare,Consultant,Analytics,M,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1629902,0,B,5,2,0,2037377
262,19,12,HR,Senior Researcher,FMCG,L,Manager,Doctorate,Botony,Others,Sociology,2231779,1,Key_Performer,4,0,0,3124490
263,14,3,Sales,Business Analyst,Analytics,J,CA,PG,Mathematics,Mathematics,Did not do PHD,1467347,0,D,5,0,0,1754947
264,2,0,Sales,Project Manager,FMCG,D,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,419964,1,B,3,5,0,545953
265,9,0,Sales,Principal Analyst,Telecom,I,Web Designer,Grad,Mathematics,Mathematics,Did not do PHD,1180622,0,A,3,2,1,1475777
266,14,3,Banking,Financial Analyst,Retail,C,Manager,Grad,Chemistry,Others,Did not do PHD,1935093,1,D,3,0,0,2278765
267,10,0,Sales,Business Analyst,BFSI,M,Product Manager,Doctorate,Mathematics,Mathematics,Mathematics,1729486,1,A,3,0,0,2421280
268,5,2,Others,Business Analyst,Automobile,P,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,432394,1,Key_Performer,6,2,0,584596
269,11,10,Education,CEO,Analytics,F,Software Developer,Doctorate,Mathematics,Mathematics,Mathematics,1942532,0,D,3,0,1,2412624
270,11,4,Marketing,Business Analyst,Automobile,D,Sr.Manager,PG,Statistics,Statistics,Did not do PHD,2394992,0,C,5,1,0,2864410
271,6,1,Sales,Analyst,Insurance,O,Product Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1040752,0,D,5,2,0,1196864
272,17,16,Sales,Senior Researcher,Insurance,A,Research Scientist,PG,Zoology,Zoology,Did not do PHD,3023428,0,Key_Performer,2,0,0,3930456
273,17,11,Healthcare,Business Analyst,Telecom,K,Assistant Manager,Grad,Botony,Botony,Did not do PHD,2576808,0,C,5,1,0,2963329
275,15,0,Top Management,Consultant,BFSI,D,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2575811,0,C,3,2,0,2962182
276,21,14,Sales,Scientist,Analytics,I,Sr.Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1651512,0,C,5,0,1,1899238
277,5,1,Others,Consultant,Others,B,CA,Grad,Statistics,Statistics,Did not do PHD,556320,0,B,6,0,0,695400
278,4,2,Healthcare,Researcher,Insurance,C,Manager,Grad,Zoology,Zoology,Did not do PHD,518884,0,Key_Performer,4,0,0,674549
279,21,3,Healthcare,Analyst,BFSI,N,Manager,Grad,Statistics,Others,Did not do PHD,2758156,1,C,5,0,0,3248004
280,21,14,Healthcare,Others,Analytics,F,Medical Officer,Grad,Zoology,Zoology,Did not do PHD,2530405,1,Key_Performer,6,0,0,3238918
281,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Doctorate,Engineering,Engineering,Engineering,0,0,Fresher,0,0,0,1330490
282,21,10,Engineering,Financial Analyst,Others,N,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2481811,0,C,6,1,0,2854082
283,3,1,Healthcare,Team Lead,BFSI,K,Software Developer,Doctorate,Engineering,Others,Statistics,1309013,1,C,3,0,0,1686008
284,10,9,IT-Software,Others,Automobile,K,CA,PG,Economics,Economics,Did not do PHD,2058003,1,C,5,0,0,2499238
285,3,2,Marketing,Bio statistician,Aviation,A,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,411658,0,B,1,2,0,514572
286,18,7,Others,Sales Manager,Training,F,Assistant Manager,Doctorate,Zoology,Zoology,Zoology,2503581,0,B,6,0,0,3379834
287,22,14,Education,Consultant,FMCG,F,CA,Doctorate,Economics,Economics,Economics,2432734,0,A,5,0,0,3284190
289,13,6,HR,Bio statistician,Retail,N,Product Manager,PG,Engineering,Engineering,Did not do PHD,2344823,1,Key_Performer,3,1,0,3095166
290,22,8,Engineering,Consultant,Retail,E,Assistant Manager,Grad,Sociology,Sociology,Did not do PHD,2250192,0,A,2,3,0,2812740
291,23,20,Banking,Team Lead,Insurance,M,Marketing Manager,PG,Engineering,Engineering,Did not do PHD,2914594,1,C,3,1,0,3539482
294,4,2,Others,Business Analyst,Insurance,L,Research Analyst,Doctorate,Botony,Botony,Botony,1113980,1,Key_Performer,3,0,0,1621954
295,7,6,Sales,Bio statistician,BFSI,K,Marketing Manager,PG,Chemistry,Chemistry,Did not do PHD,1588068,0,D,5,1,0,1899329
296,8,6,Healthcare,Financial Analyst,BFSI,M,Manager,Doctorate,Others,Chemistry,Mathematics,1899357,0,C,4,0,0,2359001
297,11,0,Others,Head,Training,A,Network Engineer,PG,Others,Psychology,Did not do PHD,1872116,1,Key_Performer,5,1,1,2471193
298,24,10,Accounts,Analyst,Automobile,I,Sr.Manager,Doctorate,Others,Psychology,Arts,2718825,0,C,6,0,0,3376780
300,7,3,Banking,Bio statistician,FMCG,A,Assistant Manager,Grad,Economics,Economics,Did not do PHD,989800,1,Key_Performer,2,0,0,1317621
301,10,6,Top Management,Scientist,IT,N,HR,PG,Economics,Economics,Did not do PHD,2080257,1,D,2,0,0,2526264
302,14,10,Banking,Sales Manager,Training,B,Web Designer,Doctorate,Others,Economics,Economics,1612714,0,D,4,0,0,2002990
303,5,4,Education,Bio statistician,FMCG,J,Product Manager,PG,Sociology,Sociology,Did not do PHD,516481,0,D,4,1,0,617711
304,22,15,Marketing,Senior Researcher,Training,N,Assistant Manager,PG,Arts,Others,Did not do PHD,3464873,0,C,5,0,0,4143988
305,4,4,Engineering,Associate,Others,C,Sr.Manager,Grad,Chemistry,Chemistry,Did not do PHD,547094,0,D,4,0,0,629158
306,7,5,Education,Principal Analyst,Aviation,D,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,751906,0,C,1,3,1,864691
308,17,7,Analytics/BI,Data scientist,Insurance,O,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2655335,0,A,5,3,1,3319168
310,9,1,Education,Others,Automobile,F,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1780468,1,Key_Performer,3,0,0,2314608
311,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Grad,Others,Statistics,Did not do PHD,0,0,Fresher,0,0,0,536684
312,19,10,Engineering,Sales Execituve,Analytics,C,Product Manager,Grad,Psychology,Psychology,Did not do PHD,2591540,0,A,5,0,0,3239425
313,22,0,Education,Head,Retail,D,Research Analyst,Grad,Zoology,Zoology,Did not do PHD,1661903,0,C,6,4,1,1911188
314,14,4,Banking,Sales Manager,Automobile,L,HR,Grad,Arts,Others,Did not do PHD,2007539,0,D,6,0,0,2308669
315,22,14,Accounts,Business Analyst,Others,O,Web Designer,PG,Statistics,Statistics,Did not do PHD,1751344,0,B,2,0,0,2276747
316,20,4,Healthcare,Researcher,IT,C,HR,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2654732,1,Key_Performer,5,1,0,3451151
317,11,7,Accounts,Bio statistician,FMCG,C,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1169065,0,B,6,2,0,1461331
319,1,1,Engineering,Associate,Others,E,Assistant Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,615925,0,D,3,2,0,708313
320,12,9,Analytics/BI,Business Analyst,Retail,D,Network Engineer,Grad,Mathematics,Mathematics,Did not do PHD,2003336,0,B,2,4,0,2504170
321,21,15,Analytics/BI,Project Manager,Insurance,I,Consultant,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1403088,0,A,3,4,0,1753860
322,20,7,HR,Bio statistician,Aviation,D,Sr.Manager,Grad,Statistics,Statistics,Did not do PHD,2487375,0,B,4,0,0,3109218
323,18,18,Top Management,Senior Researcher,Aviation,D,Assistant Manager,Grad,Psychology,Psychology,Did not do PHD,2697851,0,C,2,4,0,3102528
324,21,1,Marketing,Bio statistician,BFSI,N,Sr.Manager,Grad,Chemistry,Others,Did not do PHD,2444248,1,A,4,0,0,3128637
325,20,19,Education,Bio statistician,Training,O,CA,Doctorate,Others,Chemistry,Zoology,2384407,1,Key_Performer,4,0,0,3338169
326,7,1,Banking,Others,Others,L,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,701628,1,C,3,0,0,839147
327,16,8,Others,Team Lead,IT,G,Director,Grad,Statistics,Statistics,Did not do PHD,2209674,1,B,3,0,0,2828382
329,10,0,Analytics/BI,Data scientist,Aviation,A,Others,PG,Mathematics,Others,Did not do PHD,2323467,0,B,1,1,0,3020507
330,17,4,HR,CEO,Retail,L,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2656043,0,A,5,2,0,3320053
331,9,2,HR,Sales Execituve,Others,J,Research Analyst,Grad,Psychology,Others,Did not do PHD,956688,0,Key_Performer,6,2,0,1195860
332,2,2,Marketing,Project Manager,IT,C,Sr.Manager,PG,Statistics,Statistics,Did not do PHD,636270,0,B,1,0,0,814425
333,14,3,Sales,Others,Analytics,E,Director,Doctorate,Chemistry,Chemistry,Chemistry,1942389,1,B,5,0,0,2719344
334,18,9,Education,Bio statistician,Aviation,H,Manager,PG,Mathematics,Others,Did not do PHD,2248016,0,D,4,0,0,2688627
335,24,10,Top Management,Sales Execituve,FMCG,G,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2759695,0,D,5,3,0,3173649
337,15,7,Others,Sales Manager,FMCG,C,Research Scientist,Grad,Arts,Others,Did not do PHD,2302819,0,D,6,0,0,2648241
338,2,1,Marketing,Financial Analyst,Insurance,P,Assistant Manager,Grad,Arts,Arts,Did not do PHD,562305,0,C,3,0,0,646650
340,5,0,Accounts,Sales Execituve,Aviation,O,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,489850,0,C,2,3,0,563327
341,22,4,Engineering,Head,Training,E,Others,Grad,Botony,Botony,Did not do PHD,2547731,0,B,5,0,0,3184663
342,6,4,Healthcare,Project Manager,Others,M,Product Manager,Doctorate,Economics,Economics,Economics,1996651,1,B,2,0,0,2795311
345,20,12,Healthcare,Consultant,IT,G,Assistant Manager,PG,Zoology,Zoology,Did not do PHD,2833036,0,A,3,0,0,3682946
347,6,4,Education,Professor,Training,P,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,999217,0,A,1,1,0,1298982
348,25,15,HR,Consultant,FMCG,H,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1967200,0,D,4,1,0,2262280
349,3,3,Sales,Scientist,Retail,M,Others,PG,Engineering,Others,Did not do PHD,637137,0,D,3,3,0,762015
350,6,3,Marketing,Bio statistician,Retail,E,Others,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1135748,0,A,4,0,0,1476472
351,7,3,HR,Consultant,IT,M,Scientist,PG,Chemistry,Chemistry,Did not do PHD,1235910,1,A,3,0,0,1696657
352,15,15,HR,Project Manager,BFSI,A,Software Developer,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1645718,0,A,2,5,0,2057147
353,17,1,Sales,Sales Execituve,Training,E,Marketing Manager,Grad,Zoology,Zoology,Did not do PHD,2450836,0,C,3,0,0,2818461
354,24,19,Marketing,Senior Researcher,Others,I,Data Analyst,Grad,Botony,Botony,Did not do PHD,2572438,0,C,6,3,0,2958303
355,16,3,Others,Scientist,Insurance,E,Others,PG,Mathematics,Mathematics,Did not do PHD,2601585,0,C,2,1,0,3111495
356,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,Doctorate,Sociology,Sociology,Sociology,0,0,Fresher,0,0,0,890066
357,5,0,Sales,Financial Analyst,Aviation,D,Manager,Doctorate,Chemistry,Chemistry,Chemistry,916408,1,Key_Performer,4,0,0,1334290
359,20,10,Marketing,Others,Training,I,Medical Officer,Grad,Sociology,Others,Did not do PHD,2742500,0,D,3,0,0,3153875
360,22,3,Engineering,Bio statistician,FMCG,A,Data Analyst,Grad,Economics,Economics,Did not do PHD,2626867,0,C,5,2,0,3020897
361,24,9,IT-Software,CEO,Others,B,HR,Doctorate,Mathematics,Mathematics,Mathematics,3067271,1,Key_Performer,3,0,0,4294179
362,18,7,Top Management,Bio statistician,IT,B,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2662303,0,A,4,5,0,3327878
363,14,14,Marketing,Project Manager,Retail,P,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1424309,1,C,5,3,0,1703473
364,14,2,Healthcare,Research Scientist,Telecom,F,Sr.Manager,Doctorate,Psychology,Psychology,Psychology,2181114,0,D,4,0,0,2708943
366,2,0,Sales,Sales Execituve,FMCG,P,HR,Grad,Botony,Did not do PG,Did not do PHD,520559,0,C,3,0,0,598642
367,1,1,IT-Software,Business Analyst,Others,N,Software Developer,PG,Others,Economics,Did not do PHD,584377,1,B,3,0,0,788908
368,5,1,Engineering,Sales Execituve,FMCG,P,Product Manager,Doctorate,Economics,Others,Economics,1061328,1,Key_Performer,1,0,0,1545293
369,10,4,Accounts,Head,Retail,L,Assistant Manager,Grad,Mathematics,Mathematics,Did not do PHD,1907934,0,C,6,2,1,2194124
370,24,19,Healthcare,Researcher,FMCG,P,Research Analyst,PG,Zoology,Others,Did not do PHD,3408108,0,D,5,0,0,4076097
371,23,9,Top Management,Team Lead,Aviation,F,Network Engineer,Grad,Economics,Economics,Did not do PHD,2553052,0,D,3,4,0,2936009
372,4,4,HR,Associate,Retail,H,Sr.Manager,PG,Economics,Economics,Did not do PHD,839434,0,C,6,0,0,1003963
374,13,7,Healthcare,Others,Aviation,G,Medical Officer,PG,Psychology,Psychology,Did not do PHD,1865242,1,Key_Performer,5,0,0,2462119
375,24,15,Engineering,Business Analyst,Training,P,Data Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2195633,0,C,5,2,0,2524977
376,10,3,Sales,Bio statistician,Automobile,N,Sr.Manager,PG,Zoology,Zoology,Did not do PHD,1983304,1,Key_Performer,5,0,0,2617961
377,21,2,Engineering,Bio statistician,Analytics,H,Software Developer,Doctorate,Mathematics,Mathematics,Others,3069951,1,B,2,0,0,4297931
379,11,6,Analytics/BI,Senior Researcher,BFSI,N,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1148664,0,B,5,2,0,1435830
380,4,4,Sales,Project Manager,Analytics,J,Research Analyst,Doctorate,Others,Statistics,Economics,1316282,0,C,1,0,0,1634822
381,13,5,Banking,Senior Researcher,Insurance,I,Product Manager,Grad,Botony,Botony,Did not do PHD,1984938,0,D,3,0,0,2282678
382,8,0,Others,Business Analyst,Insurance,A,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,584427,0,A,4,2,0,759755
384,7,4,Healthcare,Financial Analyst,IT,L,Product Manager,Doctorate,Arts,Arts,Others,2016134,0,D,6,0,0,2504038
385,6,6,Top Management,Sales Execituve,Aviation,B,Manager,Grad,Zoology,Did not do PG,Did not do PHD,1245847,0,C,2,0,0,1432724
387,15,1,Education,Others,Automobile,E,Research Scientist,Grad,Sociology,Sociology,Did not do PHD,1770087,0,A,4,0,0,2212608
388,23,23,Education,Consultant,Aviation,O,Web Designer,Doctorate,Engineering,Engineering,Engineering,3669297,0,B,2,0,0,4953550
389,24,19,Sales,Senior Researcher,Automobile,E,Sr.Manager,PG,Arts,Arts,Did not do PHD,2935418,0,A,4,1,0,3816043
390,14,13,Engineering,Bio statistician,Aviation,B,HR,Doctorate,Others,Psychology,Others,1500816,0,B,2,0,0,2026101
391,14,0,Healthcare,CEO,FMCG,D,Software Developer,Doctorate,Others,Chemistry,Arts,1540405,0,B,5,0,0,2079546
392,0,0,Fresher,Fresher,Fresher,Fresher,Fresher,PG,Chemistry,Chemistry,Did not do PHD,0,0,Fresher,0,1,0,850772
393,25,15,Others,Bio statistician,Aviation,D,Assistant Manager,Doctorate,Chemistry,Chemistry,Chemistry,3597816,0,B,3,0,0,4857051
394,25,12,Sales,Financial Analyst,Analytics,F,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,1464714,1,Key_Performer,4,0,0,1904128
395,10,9,Others,Scientist,FMCG,P,Sr.Manager,Grad,Chemistry,Chemistry,Did not do PHD,1804950,1,C,4,0,0,2125509
397,8,5,Healthcare,Lab Executuve,Retail,A,Marketing Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,515155,1,B,6,2,0,669701
398,15,5,Top Management,Senior Analyst,IT,C,Others,Grad,Botony,Botony,Did not do PHD,2029333,0,C,2,0,0,2333732
399,7,3,Sales,Consultant,Analytics,H,Manager,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,705289,0,C,1,1,0,811082
400,15,11,Top Management,Consultant,BFSI,D,Software Developer,PG,Mathematics,Mathematics,Did not do PHD,2145683,1,Key_Performer,5,3,0,2832301
401,8,1,Others,Consultant,IT,D,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,602633,1,Key_Performer,1,1,0,814759
404,25,7,Banking,Head,Analytics,P,Manager,Grad,Botony,Botony,Did not do PHD,2492865,0,C,6,0,0,2866794
405,16,15,Marketing,Others,Analytics,B,Research Analyst,Under Grad,Did not do graduation,Did not do PG,Did not do PHD,2798617,1,D,3,1,0,3347145
406,11,1,Healthcare,Sales Manager,Analytics,D,CA,Grad,Mathematics,Mathematics,Did not do PHD,1909813,0,Key_Performer,6,0,0,2387266
408,22,14,IT-Software,Scientist,BFSI,D,Web Designer,Grad,Others,Mathematics,Did not do PHD,2582991,1,D,6,1,0,3041730
409,4,1,HR,Project Manager,FMCG,P,Manager,PG,Arts,Arts,Did not do PHD,1068661,0,Key_Performer,2,0,0,1444829
